Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ISO3
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",268,Georgia,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,100,100,100,100,,GEO
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",288,Ghana,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,18.67062,,,,GHA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",288,Ghana,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,8.40981,,,,GHA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",288,Ghana,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,19.93535,,,,GHA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",288,Ghana,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,39.43275,,,,GHA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",292,Gibraltar,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,100,,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",292,Gibraltar,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,100,100,,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",292,Gibraltar,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,100,100,,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",292,Gibraltar,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,100,,100,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",308,Grenada,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,100,100,,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",308,Grenada,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,100,72.1519,,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",308,Grenada,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,100,100,,100,,
