featurecla,scalerank,SOVEREIGNT,SOV_A3,NAME,NAME_LONG,NAME_EN,latitude,longitude
Admin-0 country,"1",Guinea,GIN,Guinea,Guinea,Guinea,10.44827288,-11.06085374
Admin-0 country,"1",Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,12.02270438,-15.11062375
Admin-0 country,"1",Liberia,LBR,Liberia,Liberia,Liberia,6.43161986,-9.41083615
Admin-0 country,"1",Sierra Leone,SLE,Sierra Leone,Sierra Leone,Sierra Leone,8.53035373,-11.79525743
Admin-0 country,"1",Burkina Faso,BFA,Burkina Faso,Burkina Faso,Burkina Faso,12.31165049,-1.77653745
Admin-0 country,"1",Central African Republic,CAF,Central African Rep.,Central African Republic,Central African Republic,6.54277871,20.37434729
Admin-0 country,"1",Republic of the Congo,COG,Congo,Republic of the Congo,Republic of the Congo,-0.83780109,15.13446177
Admin-0 country,"1",Gabon,GAB,Gabon,Gabon,Gabon,-0.64704814,11.68775117
Admin-0 country,"1",Equatorial Guinea,GNQ,Eq. Guinea,Equatorial Guinea,Equatorial Guinea,1.64586432,10.36603133
Admin-0 country,"1",Zambia,ZMB,Zambia,Zambia,Zambia,-13.39506755,27.72759192
Admin-0 country,"1",Malawi,MWI,Malawi,Malawi,Malawi,-13.17283499,34.19360533
Admin-0 country,"1",Mozambique,MOZ,Mozambique,Mozambique,Mozambique,-17.23044898,35.47261598
Admin-0 country,"1",eSwatini,SWZ,eSwatini,Kingdom of eSwatini,Eswatini,-26.48985529,31.3952559
Admin-0 country,"1",Angola,AGO,Angola,Angola,Angola,-12.24586904,17.47057255
Admin-0 country,"1",Burundi,BDI,Burundi,Burundi,Burundi,-3.37739108,29.9138923
Admin-0 country,"1",Israel,IS1,Israel,Israel,Israel,31.48491939,35.00385121
Admin-0 country,"1",Lebanon,LBN,Lebanon,Lebanon,Lebanon,33.91182721,35.87098632
Admin-0 country,"1",Madagascar,MDG,Madagascar,Madagascar,Madagascar,-19.35611408,46.69117091
Admin-0 country,"1",Israel,IS1,Palestine,Palestine,Palestine,31.94113662,35.27331962
Admin-0 country,"1",Gambia,GMB,Gambia,The Gambia,The Gambia,13.47533436,-15.43187281
Admin-0 country,"1",Tunisia,TUN,Tunisia,Tunisia,Tunisia,34.17293904,9.53471612
Admin-0 country,"1",Algeria,DZA,Algeria,Algeria,Algeria,28.18548128,2.59804779
Admin-0 country,"1",Jordan,JOR,Jordan,Jordan,Jordan,31.24549058,36.77945491
Admin-0 country,"1",United Arab Emirates,ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,23.86863365,54.20671476
Admin-0 country,"1",Qatar,QAT,Qatar,Qatar,Qatar,25.32185097,51.18350258
Admin-0 country,"1",Kuwait,KWT,Kuwait,Kuwait,Kuwait,29.30726663,47.60009889
Admin-0 country,"1",Iraq,IRQ,Iraq,Iraq,Iraq,33.03682096,43.75691096
Admin-0 country,"1",Oman,OMN,Oman,Oman,Oman,20.61117437,56.09867282
Admin-0 country,"1",Vanuatu,VUT,Vanuatu,Vanuatu,Vanuatu,-15.54267706,167.07375127
Admin-0 country,"1",Cambodia,KHM,Cambodia,Cambodia,Cambodia,12.68472863,104.87608533
Admin-0 country,"1",Thailand,THA,Thailand,Thailand,Thailand,15.01697499,101.00613355
Admin-0 country,"1",Laos,LAO,Laos,Lao PDR,Laos,18.44497809,103.7502599
